SPEC Template — NEURONIUM AI (Commitment-aware AI Super Agent)

1. Feature Context
Section	Fill In
ST-16	Implement ingest pipeline: source chunking (configurable size + overlap), embeddings provider abstraction (sentence-transformers + OpenAI), content-sha256 dedup, transactional writes, MEMORY_INGESTED trace event with source_digest + counts.	ST-15	1k-chunk ingest ≤ 30 s p95; re-ingest of same source produces zero new rows and emits MEMORY_INGESTED with status="duplicate"; partial-failure test rolls back cleanly (no dangling vectors).
ST-17	Implement retrieval pipeline: vector kNN search + graph expansion over MemoryEdge up to `hops`, dedup + rank by combined score, optional score_threshold, MEMORY_HIT/MISS trace event with resolved IDs; expose memory.retrieve as public API; integrate with executor so DAG nodes can declare a retrieval step.	ST-15, ST-16	Retrieval p95 ≤ 200 ms (k=10, hops=1, 100k nodes) on Postgres+pgvector; recall@10 ≥ 0.85 on benchmark; replay test confirms identical context resolved from recorded MEMORY_HIT IDs even after live store mutated.

Task 8
Field	Fill In
Task ID	T-8
Related Use Case	UC-5.1 (Custom critic registration) + UC-5.2 (Auto revise loop on FAIL)
Task Description	Implement the full Verification subsystem: CriticProtocol contract, three-source critic discovery (programmatic critics.register, [verification.critics] in TOML, entry-points group "neuronium_agent.critics"), in-process gate chain by priority, CriticVerdict persistence with evidence_artifact_id, CRITIC_VERDICT trace events, recovery policy revise_on_critic_fail with max_revise_attempts, CRITIC_REJECTED / REVISE_TRIGGERED / REVISE_GIVE_UP / ESCALATED event chain, failed-artifact retention indexed by node_ref + attempt index, ship built-in critics (demo, generic, business-rule template).
Dependencies	T-1 (executor + trace + artifacts), T-2 (control protocol — revise/escalate piggybacks on it).
DoD	(a) Critics discovered from all three sources; bad protocol implementation fails fast at startup with typed error; (b) Gate chain runs in priority order; first FAIL blocks downstream execution; (c) Critic gate overhead ≤ 20 ms p95 per critic per node (excluding the critic's own logic); (d) On FAIL with revise_on_critic_fail, planner regenerates affected sub-DAG using evidence as context; ≥ 80% of revisable failures converge to PASS within 3 attempts on QA benchmark; (e) Failed artifacts retained with attempt index, queryable and exportable; (f) ESCALATED state reached cleanly when max_revise_attempts exceeded; (g) Built-in critics shipped and documented.

Subtasks
Subtask ID	Description	Dependencies	Acceptance Criteria
ST-18	Define CriticProtocol (verify(node_ref, output, context) → Verdict{result, evidence_artifact_id, message}); implement three-source discovery (programmatic / TOML / entry-points) with strict protocol validation and duplicate-name detection; implement in-process priority gate chain.	T-1	Discovery test loads from all three sources; bad class raises typed CriticProtocolError at startup; gate chain executes in priority order on fixture nodes; gate overhead measured ≤ 20 ms p95 per critic.
ST-19	Persist CriticVerdict rows with evidence_artifact_id (evidence stored in CAS), emit CRITIC_VERDICT trace event with name/result/evidence pointer, ship built-in critics (demo, generic, business-rule template) and documentation.	ST-18	Verdicts queryable by node_ref; evidence retrievable via read_artifact_json; built-in critics covered by integration tests; docs include "write your own critic" tutorial.
ST-20	Implement auto revise loop: on critic FAIL, recovery policy emits internal ControlCommand(type="revise"), planner regenerates sub-DAG using evidence as context, executor reruns; track attempt_idx; on max_revise_attempts exceeded transition to ESCALATED with REVISE_GIVE_UP event; retain failed artifacts indexed by attempt.	ST-18, ST-19, T-2	On the QA benchmark suite ≥ 80% revisable failures converge within 3 attempts; failed artifacts queryable by node_ref + attempt; max-attempts exceeded reaches ESCALATED cleanly with REVISE_GIVE_UP event; trace event chain CRITIC_REJECTED → CONTROL_APPLIED → REVISE_TRIGGERED is in correct order on every revise.

Task 9
Field	Fill In
Task ID	T-9
Related Use Case	UC-6.1 (MCP tool integration) + UC-6.2 (Custom node + plugin SDK)
Task Description	Implement the full extension surface: (a) MCP client + handshake + JSON Schema validation + McpToolRegistry persistence + replay-safe invocation + McpProtocolError + NetworkAttemptInReplayError integration; (b) Plugin Loader for three entry-point groups (neuronium_agent.nodes / .critics / .recovery_policies) with strict protocol validation, module-digest pinning recorded in ConfigSnapshot, PluginDriftError raised on replay digest mismatch (strict mode); (c) Sandbox enforcement for custom code-executing nodes (same Docker isolation rules as built-in CodeNode unless explicitly whitelisted); (d) PLUGIN_LOADED + MCP_TOOL_CALLED + MCP_TOOL_RESULT trace events; (e) Documentation + skeletons + cookiecutter templates for plugin authors.
Dependencies	T-2 (control protocol — plugins must integrate with state machine), T-5 (Docker sandbox + production worker context), T-8 (critic plugin discovery shares the loader infrastructure).
DoD	(a) MCP tool descriptors validated against JSON Schema and persisted; live + replay paths both pass integration tests; (b) Schema-violating MCP responses raise McpProtocolError; live MCP call attempt in strict replay raises NetworkAttemptInReplayError; (c) MCP overhead (marshalling + registry lookup) ≤ 100 ms p95 excluding network; (d) Three entry-point groups discovered at startup; bad protocol class fails fast; plugin-load adds ≤ 500 ms to startup for 20 plugins; (e) ConfigSnapshot records module_digest for every loaded plugin; replay detects drift and raises PluginDriftError in strict mode; (f) Custom code-executing node runs only inside Docker sandbox; non-sandboxed mode requires explicit whitelist; (g) Plugin author "hello world" cookiecutter goes from skeleton → integration test green ≤ 1 day for an experienced Python dev.

Subtasks
Subtask ID	Description	Dependencies	Acceptance Criteria
ST-21	Implement MCP client + handshake + JSON Schema validation; persist McpToolRegistry; integrate into McpToolNode with timeout + retry per node config; emit MCP_TOOL_CALLED + MCP_TOOL_RESULT trace events with input/output artifact IDs.	T-1, T-5	Round-trip integration test against fixture MCP server passes; schema-violating response raises typed McpProtocolError; tool descriptor persisted with version + schema_artifact_id; MCP overhead measured ≤ 100 ms p95 excluding network.
ST-22	Integrate MCP with strict replay: serve recorded MCP_TOOL_RESULT artifact verbatim during replay; raise NetworkAttemptInReplayError on any uncovered live MCP call; replay test covers both happy path and missing-artifact path.	ST-21, T-4	Replay of recorded MCP call returns identical bytes; missing recorded artifact raises NetworkAttemptInReplayError; no live MCP traffic observed during strict replay (verified by network mock).
ST-23	Implement Plugin Loader for three entry-point groups (neuronium_agent.nodes / .critics / .recovery_policies); strict protocol validation (TypeError on mismatch, fail fast at startup); compute module digest (sha256 of module bytes) and record in PLUGIN_LOADED trace event + ConfigSnapshot.	T-1	Discovery test loads valid plugins from all three groups; invalid class raises PluginProtocolError at startup; PLUGIN_LOADED trace event records name + version + module_digest; plugin-load adds ≤ 500 ms to startup for 20 plugins.
ST-24	Implement replay-time digest drift detection: compare loaded plugin digests to those in ConfigSnapshot; emit PLUGIN_DIGEST_DRIFT warning (default) or raise PluginDriftError (strict mode).	ST-23, T-4	Drift test: modify plugin module after recording, replay → strict mode raises PluginDriftError, default mode logs warning + appends PLUGIN_DIGEST_DRIFT event but continues; no drift case is silent.
ST-25	Enforce sandbox for custom code-executing nodes: by default any custom node declared as code-executing runs inside the Docker sandbox with no host network and read-only mounts; non-sandboxed execution requires explicit whitelist in config; ship cookiecutter "hello world" plugin template + docs.	T-5, ST-23	Whitelist-off path: custom code node attempting host network in test fails by Docker policy; whitelist-on path: explicit config allows it and emits SECURITY_WHITELIST_USED warning event; cookiecutter scaffolds a working plugin that registers, runs and is replay-safe end-to-end.
